sentence,mdd,t_depth,bigrams,words,letters,word_avg,numbers,symbols,if_question,punctuation,sym_hashtag,sym_shtrudel,sym_dollar,sym_ampersand,sym_percend,sym_star,sym_tilda,sym_math,sym_logic,sym_brackets,sym_num,sym_quotes,sym_slashes,NN,VB,JJ,PREPOSITION,DEF,CONJ,BN,NNP,NNT,TEMP,RB,CC,AT,QW,REL,PRP,IN,DTT,DT,MD,stopwords,result
"במסגרת הקול הקורא, יוכלו חברות ממשלתיות, חברות פרטיות ואגודות חקלאיות שיתופיות להגיש הצעה למיזמים במסלולים שונים.",12.94,25,15,16,95,5.938,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,12,6,6,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1
מחצית מהגברים בני ה-50 סובלים מערמונית מוגדלת שפירה.,5.5,10,7,9,43,4.778,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,4,4,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
שכיחות התופעה הולכת וגדלה ככל שמתבגרים.,4.44,8,5,6,33,5.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,6,0,2,0,0,2,0,0,2,0,0,0,0,0,0,1
"הבשורה הטובה היא שכיום ניתן לטפל בבעיה בשיטה חדשנית, המאפשרת החלמה מהירה, מינימום סיכונים וללא פגיעה בתפקוד המיני.",15.67,31,17,18,94,5.222,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,8,6,10,2,2,0,2,0,2,0,0,0,4,0,2,0,0,2,1,1
"המועצה המקומית עתרה בטענה שהמכרזים שפורסמו פונים לכלל הציבור, ומתעלמים ממצוקת הדיור של בני היישוב.",13.49,28,14,15,82,5.467,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,2,6,12,2,2,0,6,0,0,0,0,0,4,0,0,0,0,0,1,1
"אחרי עיכוב של שנים, הוועדה המחוזית הפקידה את התוכנית של חברת ישראל קנדה להקמת מתחם למגורים, מסחר, תעסוקה ומבני ציבור על שטח המפעל הנטוש בכניסה המזרחית לרמת השרון.",22.66,45,27,28,131,4.679,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,4,8,16,2,2,6,10,0,0,0,2,0,2,0,4,0,0,0,5,1
"ועדת החקירה הודיעה למוזהרים על מועד תחילת הדיונים באזהרות, ועל האפשרות לזמן עדים העומדת בפניהם.",12.05,23,14,15,79,5.267,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,4,8,2,2,0,6,0,0,0,0,0,2,0,4,0,0,0,1,1
"כמה דברים שחשוב לדעת על הגשת בקשה לקבלת דרגה והשתתפות בשכר לימוד, במעונות יום, משפחתונים ובצהרונים.",10.04,23,15,16,81,5.062,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,6,0,4,0,0,8,0,0,0,0,0,2,0,2,2,0,2,1,1
"בבדיקה שנערכה עי שירות המזון לשכת הבריאות מחוז הצפון, נמצאו שאריות של אלרגן שומשום שאינו מצוין ברשימת אלרגנים על התווית.",14.21,30,19,21,99,4.714,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,14,4,0,4,10,0,2,4,10,0,0,0,0,0,4,0,2,0,0,0,2,1
"לצד נתיבי איילון מתנשאים בעיקר בנייני משרדים, בסביבה נטולת שטחי ציבור או רחובות מסחריים נעימים.",7.43,15,14,15,79,5.267,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,2,0,0,2,2,6,0,2,2,0,0,0,0,2,0,0,0,1,1
נשאר לראות האם פרויקט המגדלים אדיר הממדים יצליח לשלב כראוי מסחר ומגורים.,6.73,14,11,12,60,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,4,2,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,1
"בעקבות תלונת צרכן נמצאה נוכחות אלרגן חלב, אשר אינו מסומן במידע על אלרגנים בתוית המוצר.",9.04,20,14,15,70,4.667,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,4,4,0,4,6,4,0,0,2,0,0,0,0,4,0,0,0,2,1
מינהל הפיקוח על היהלומים והיצוא הדו שימושי מפרסם להערות הציבור טיוטה של הנוהל להוצאות רישיון לעיסוק ביהלומים והארכת תוקפו.,15.44,31,18,19,103,5.421,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,8,14,4,2,0,8,0,0,0,0,0,0,0,2,0,0,0,2,1
"הוועדה המקומית רמת השרון מתנגדת לתוכנית של ישראל קנדה לבנות 600 דירות בשכונת מורשה, אך החברה הגישה אותה למחוזית.",14.35,28,18,19,92,4.842,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,4,8,8,0,2,6,4,0,0,2,2,0,0,0,0,0,0,0,3,1
על כל מי שהיה במגע או שבעלי החיים שברשותו באו במגע באזור האירוע עם בעל החיים הנגוע או בעל חיים משוטט בתאריכים המפורטים בהודעה לפנות בדחיפות ללשכת הבריאות הקרובה למקום מגוריו.,25.47,52,30,31,143,4.613,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,4,18,18,0,4,0,12,0,0,4,0,2,8,0,4,2,0,0,6,1
רשות החשמל מפרסמת שימוע ציבורי בדבר עדכון תעריפי החשמל לשנת 2023.,6.79,14,10,11,54,4.909,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,4,4,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1
"מטרת האות, המוענק מדי שנה עבור פעילות יוצאת דופן לקידום, הנגשה ומימוש זכויות הנובעות ממצב רפואי, היא האות נועד להעריך ולהוקיר את העוסקים בתחום, להעלות את המודעות לנושא, לקדם שיתופי פעולה ולעודד את מוסדות הבריאות לפעול לקידום הנגשה ומימוש זכויות אלה.",32.55,64,40,41,203,4.951,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,36,12,2,10,16,8,8,2,10,0,0,0,6,0,4,0,2,2,0,0,5,1
במסגרת הביקור סוכם על הידוק יחסי העבודה בתחומי החקירות והמודיעין.,8.04,17,9,10,55,5.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,4,8,2,0,0,8,0,0,0,0,0,0,0,2,0,0,0,1,1
"משרד ראש הממשלה, המשרד להגנת הסביבה ומשרד החקלאות יוצאים לדרך עם תוכנית הפעולה ליישום התוכנית הלאומית להצללה וקירור במרחב העירוני.",19.05,38,19,20,109,5.45,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,4,10,20,4,2,0,12,0,0,0,0,0,0,0,2,0,0,0,1,1
מקורת הברזל ותהליכי היווצרות של מינרלי ברזל בחולות המתפתחים לקרקעות חומות-אדומות חוליות נחקרו לראשונה במישור החוף הישראלי.,14.25,29,16,18,104,5.778,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,16,2,4,8,10,2,2,0,6,0,2,0,0,0,2,0,0,0,0,0,1,1
אמש התקיים תרגיל לאומי ברכבת הקלה בשיתוף כלל כוחות החירום בגוש דן.,8.04,17,11,12,54,4.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,6,6,0,0,2,6,0,2,0,0,0,0,0,0,2,0,0,1,1
"לרגל האירוע, הכריזו משרד החוץ היפני ומשרדי החוץ והכלכלה של ישראל על השלב הראשון בדרך למשא ומתן בין ישראל ויפן על הסכם סחר חופשי בין המדינות.",19.58,42,25,26,113,4.346,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,6,4,18,8,0,6,4,0,0,0,0,0,0,0,10,0,0,0,5,1
"במשך עשרות שנים היו ההדרים, על כל סוגי פירותיהם, למין השמיני שנתברכה בו ארץ ישראל.",9.13,21,14,15,65,4.333,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,4,0,0,4,4,0,0,0,0,0,2,0,6,2,0,0,2,1
המטרה: האצת הפריסה בכל הארץ והגברת התחרות בשוק התקשורת.,10.37,19,8,9,45,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,12,2,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,1
"תרגיל היערכות רב ממדים נערך לאחרונה במחוז דרום של משרד הפנים, בהובלתם של גורמי מנהל החירום ושל המחוז.",12.34,26,17,18,82,4.556,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,2,6,6,2,0,0,10,0,2,0,0,0,0,0,0,0,0,0,2,1
משרד הבריאות והמשרד להגנת הסביבה מדווחים לציבור המטיילים ולמועצות האזוריות והמקומיות על תוצאות חריגות בדיגום מים שבוצע לבחינת מצב הזיהום בחלק מהנחלים מסוימים בצפון הארץ.,24.05,48,24,25,144,5.76,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,4,18,20,6,2,0,12,0,0,0,0,0,2,0,2,0,0,0,1,1
"לשכות הבריאות פועלות במסגרת 'שירותי בריאות הציבור' במטרה ליישם את המדיניות בתחומים שונים, לפקח ולבקר את המוסדות השונים בתחומים שבסמכות הלשכות, וכן לתת שירות לאוכלוסייה על פי מדיניות משרד הבריאות.",24.91,50,29,30,161,5.367,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,24,8,4,12,18,4,2,0,14,0,2,0,4,0,2,0,2,0,0,0,3,1
יש לשלוח את הדוח השנתי ובקשת ההמשך חודשיים לפני תום שנת המחקר הרלוונטית.,8.44,19,12,14,59,4.214,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6,2,6,0,10,2,0,0,6,0,0,0,2,0,0,0,2,0,0,2,3,1
השירות מיועד לבעלי מוגבלויות בניידות המופנים על ידי מחלקת ניידות במוסד לביטוח הלאומי.,9.96,22,12,13,72,5.538,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,8,10,0,4,0,8,0,0,0,0,0,0,0,2,0,0,0,1,1
"סמכות הועדה להתאמת רכב הינה להמליץ על כלי רכב לאנשים עם מוגבלות הזכאים לגמלת ניידות, לפיה ייקבע כלי רכב המתאים ביותר והזול מביניהם, כולל אביזרי נהיגה מתאימים.",19.42,40,26,27,129,4.778,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,6,8,10,2,4,0,14,0,0,0,0,0,2,0,8,2,0,0,2,1
ניתן להגיש בקשה להבדק בוועדה לגודל רכב בעת הגשת טופס התביעה לביטוח לאומי להטבות בניידות.,10.76,24,14,15,73,4.867,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,2,12,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,2,0,1
"ניתן לפנות למחלקת ניידות בסניף הביטוח הלאומי המטפל בכם, ולהגיש בקשה להפנייה לבדיקה.",12.39,25,12,13,69,5.308,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,4,8,8,2,2,0,2,0,0,0,0,0,2,0,2,0,0,2,0,1
אם אתם בתהליך החלפת כסא הגלגלים יש לעדכן את מחלקת ניידות במוסד לביטוח לאומי בעת פנייתכם לבקשה להיבדק בועדה להתאמת רכב.,14.65,31,20,21,97,4.619,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,2,14,8,0,0,0,12,0,0,2,2,0,0,2,0,0,0,2,4,1
יש להגיש את הבקשה לוועדה רק לאחר קבלת הכיסא החדש על מנת למנוע עיכוב בטיפול בעניינכם או זימון חוזר לאחר קבלת כסא הגלגלים החדש. ,15.01,34,23,24,101,4.208,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,6,6,14,0,0,0,8,0,2,2,2,0,0,0,6,0,0,2,5,1
רק פונים שיגיעו עם תעודה מזהה יוכלו להיכנס לוועדה. ,5.5,12,8,9,41,4.556,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,2,0,4,0,0,0,2,0,0,0,2,0,2,0,0,2,3,0
"אם יש לכם קשר עם אחד מחברי הוועדה, חובה עליכם לדווח למזכירות הוועדה, והיא תפעל בהתאם ובמידת הצורך תזמן מועד אחר לוועדה בהקדם האפשרי.",19.9,40,23,24,106,4.417,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,4,10,12,4,0,0,6,0,2,2,0,0,0,2,4,0,0,2,6,1
רצוי להגיע לבדיקה כרבע שעה לפני שעת הזימון שנקבעה.,5.32,12,8,9,41,4.556,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,4,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,2,1,0
"רופא הוועדה יערוך לפונים בדיקה גופנית המתייחסת למסמכים, המוגבלויות והמחלות שצויינו. ",11.14,23,10,11,71,6.455,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,2,4,10,2,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0
"עם קבלת הפרוטוקול עליכם לפנות לסניף בו הנכם מטופלים בביטוח לאומי, לבירור מימוש זכויותיכם.",10.96,21,13,14,74,5.286,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,6,4,0,2,0,6,0,0,0,0,0,0,0,6,0,0,0,2,1
"אם נבדקתם בוועדה ואינכם מרוצים מהחלטתה, באפשרותכם לערער בפני ועדת השגה שבמכון הרפואי לבטיחות בדרכים בתוך 60 ימים מהיום שבו קיבלתם את הפרוטוקול של הוועדה. יש להגיש את מכתב ההשגה דרך המוסד לביטוח לאומי בלבד.",20.89,45,34,35,168,4.8,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,6,4,12,16,2,0,0,6,0,4,0,4,0,2,0,4,0,0,2,7,1
את השאלון יכולים למלא גם חברים ובני משפחה החוששים שמצבים מסוימים מצביעים על פוטנציאל אלימות ומצריכים פנייה לעזרה.,11.49,23,17,18,95,5.278,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,2,2,2,4,6,0,4,0,2,0,2,0,4,0,2,0,0,2,4,1
"באמצעות השאלון, יוכלו ממלאי השאלון לקבל מידע על דרכי הכוונה ופרטים לטובת סיוע מתאים.",9.77,20,13,14,69,4.929,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,2,4,6,2,0,0,6,0,0,0,0,0,0,0,4,0,0,2,3,1
"משרד הבריאות אחראי לבריאות הציבור ולמערכות שתפקידן למנוע ולאבחן מחלות, לטפל בחולים, ולקדם את הבריאות.",14.88,29,14,15,84,5.6,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,2,8,8,6,2,0,4,0,0,0,2,0,2,0,0,0,0,0,1,1
"פעילות המשרד מתמקדת בחקיקה, רישוי שירותים ובעלי מקצוע, קביעת תקנים לתרופות, מזון ותכשירים, ופרסום מידע לציבור.",14.88,29,15,16,90,5.625,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,6,6,6,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1
"המשרד מספק שירותי בריאות בתחום האשפוז ורפואה מונעת, בריאות הנפש, גריאטריה, בריאות הציבור ומכשירי שיקום.",13.27,25,14,15,85,5.667,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,4,4,8,4,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1
"קופות החולים מעמידות לרשות המבוטחים מוקדי שירות טלפוני עם מענה אנושי, המפנים אותם, בזמן הצורך בשירות רפואי מעבר לשעות פעילות הקופה, אל נותני השירות המתאימים מטעמן.",17.3,41,25,26,134,5.154,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,10,12,0,6,0,12,0,0,0,2,0,2,0,6,0,0,0,2,1
זכותכם לפנות באופן עצמאי אל מוקדי הרפואה הליליים או להזמין שירות ביקור רופאים לביתכם.,9.2,19,13,14,71,5.071,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,4,4,6,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,2,0
"במקרים בהם הופניתם באמצעות מוקדי השירות, הקופות ישאו במלוא עלות הביקור במיון וינפיקו לכם אישור מתאים.",14.48,28,15,16,84,5.25,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,2,8,12,2,0,0,4,0,0,0,0,0,0,2,4,0,0,0,2,1
הפניה אל מוקדי השירות הטלפוניים של הקופות אינה מחליפה את זכותכם לפנות עצמאית לביקור בחדר מיון.,10.87,21,15,16,78,4.875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,2,4,8,0,2,0,4,0,0,0,2,0,0,0,2,0,0,0,3,1
"שירות זה מספק מידע, על אופן קבלת שירותים רפואיים מהקופות המבטחות, מחוץ לשעות הרגילות בהן המרפאות פועלות.",12.68,25,16,17,85,5,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,6,6,0,8,0,6,0,0,0,0,0,2,2,2,0,0,0,3,1
רופאים מומחים בנוירולוגית ילדים והתפתחות הילד או רופאי ילדים בעלי ניסיון על פי הגדרות משרד הבריאות.,10.05,21,15,16,83,5.188,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,4,4,2,0,0,14,0,0,2,0,0,0,0,2,0,0,0,2,1
"ילדים שאובחנו עם הפרעה התפתחותית סומטית, זכאים לקבל טיפול ללא עלות עד גיל 18, בהתאם לצורך ועד 3 טיפולים בשבוע.",13.81,29,19,20,88,4.4,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,2,6,4,2,0,4,2,0,0,0,0,0,2,0,8,0,0,0,2,1
הסל יכלול עד שלוש שעות טיפול שבועיות מגורם מקצועי מוסמך במקצועות הבריאות בהתאם לצורך.,9.32,21,13,14,71,5.071,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,4,8,6,0,2,0,4,0,0,0,0,0,0,0,2,0,0,0,1,1
"כל מי שרוצים לפנות אל ממונה שוויון ונגישות בנושאים שונים, יכולים לפנות. האפשרות פתוחה בפני הקהל הרחב.",7.04,15,16,17,82,4.824,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,2,6,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,4,1
"ניתן להפנות שאלות ותלונות שמתייחסות לטובת הכלל, גם אם לא התקיימה פגיעה ישירה בפונים.",9.41,21,13,14,69,4.929,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,4,4,2,2,0,2,0,4,2,0,0,2,0,0,0,0,2,3,1
שירות זה מספק מידע על נושאי ודרכי הפנייה אל ממונה שוויון ונגישות במשרד הבריאות.,8.69,19,13,14,65,4.643,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,4,4,2,0,6,0,0,0,0,0,0,2,4,0,0,0,3,1
ניתן לזמן תור למטופלים חדשים או למטופלים קיימים שאין להם תור עתידי לטיפת חלב.,8.44,18,13,14,63,4.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,6,6,0,0,0,0,2,0,0,2,0,0,2,0,2,0,0,2,2,1
השירות ניתן ללא עלות.,2.54,4,3,4,17,4.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"שימו לב, במקרה של סתירה או אי התאמה בין המידע המופיע בדף המידע לבין הוראות הדין הרלוונטיות יגברו הוראות הדין.",14.28,29,19,20,88,4.4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,2,4,10,0,2,0,6,0,0,2,0,0,2,0,4,0,0,0,5,1
"חשוב לדעת כי כחלק מבירור התלונה, שם המתלונן יועבר לגוף או לגורם עליו אתם מתלוננים ואין מדובר בדיווח אנונימי.",13.29,27,18,19,88,4.632,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,8,4,2,2,2,6,0,2,4,0,0,0,2,0,0,0,2,5,1
"עם זאת, אם תרצו לשמור על אנונימיות, חשוב שתציינו זאת במפורש בעת הגשת התלונה.",9.45,19,13,14,60,4.286,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,2,2,0,0,0,4,0,2,2,0,0,2,4,4,0,0,2,4,1
"הטופס כתוב בלשון זכר, אך פונה לשני המינים גם יחד.",7.04,13,9,10,38,3.8,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,4,0,4,0,2,0,4,2,0,0,0,0,0,0,0,0,2,0
המענה הראשוני לבקשה יתקבל תוך שבועיים.,5.05,9,5,6,32,5.333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
הפונים יקבלו אישור קבלה או הודעה כי התלונה הועברה לגורם מטפל אחר.,7.11,14,11,12,53,4.417,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,2,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,2,0
מידע רלוונטי ייאסף והתלונה תבורר בדרכים השונות העומדות  לרשות הנציב.,8.57,18,9,10,57,5.7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,4,4,8,2,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1
כשאתם פונים למוקד חשוב שיהיה בידיכם מספר הפנייה.,5.76,13,7,8,40,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,2,0,2,0,0,2,0,0,0,0,2,2,2,2,0,0,0,0
כל מי שהגיש תלונה יכול לעדכן את פנייתו או את תלונתו.,5.81,11,10,11,41,3.727,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,2,4,2,2,0,0,2,0,2,6,0
"את התלונה ניתן לעדכן רק לאחר קבלת מספר תלונה או מספר פנייה. מספר התלונה או הפנייה, ישלח לפונה עד כשבועיים מיום הגשת התלונה.",8.44,17,22,23,98,4.261,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,2,6,0,0,2,6,0,0,2,0,0,0,0,2,0,0,0,5,1
"שירות זה מאפשר לדווח על תופעות לוואי שהופיעו לאחר קבלת מנת החיסון הראשונה, השניה או השלישית.",10.26,22,15,16,75,4.688,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,8,0,2,0,6,0,0,2,0,0,2,2,4,0,0,0,3,1
"מי שקיבלו מנה ראשונה, שנייה או שלישית של החיסון.",6.44,14,8,9,38,4.222,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,2,2,0,0,0,0,0,2,2,0,2,4,0,0,0,0,0,3,0
"אם יש תופעה שמדאיגה אותך, ניתן לפנות לרופא המטפל.",6.98,14,8,9,39,4.333,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,2,0,2,0,0,2,2,0,2,0,0,0,0,2,2,0
שירות זה מספק מידע על בעלי מקצוע בתחומי הרפואה והבריאות המורשים מטעם משרד הבריאות לעסוק במקצועם.,10.32,23,15,16,80,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,2,6,8,2,2,0,8,0,0,0,0,0,0,2,2,0,0,0,2,1
"משרד הבריאות עוסק ברישוי בעלי מקצוע העוסקים במקצועות הרפואה והבריאות, המוכרים בחוק.",10.42,23,11,12,70,5.833,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,10,2,4,0,10,0,0,0,0,0,2,0,0,0,0,0,0,1
"מומלץ לכל המטופלים המבקשים לקבל טיפול מבעלי מקצוע בתחום הרפואה והבריאות, לוודא שבעלי המקצוע מורשים מטעם משרד הבריאות.",15.49,31,17,18,98,5.444,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,4,0,8,10,2,6,0,10,0,0,0,0,0,4,0,0,2,0,0,0,1
"בשנת 1972 החליטה מועצת באר שבע שהגיע הזמן לחדש ולרענן את הסמל ולכן בחרה את חזי מור, מורה לגרפיקה שעבד בתיכון מקומי בעיר, לעצב סמל עיר חדש. ",20.36,39,26,27,109,4.037,4,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,4,10,6,4,0,2,8,0,2,0,4,0,4,0,0,0,0,0,2,1
הסמל החדש מסתמך גם הוא על אותו פסוק ומכבד את ההיסטוריה אך מציג זווית רעננה וחדשה.,11.18,21,15,16,65,4.062,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,4,8,0,0,0,2,2,4,0,0,2,2,0,0,0,6,1
המגדל בסמל נראה מעט כמו ידיים האוחזות צמרת עץ ומטרתו לציין את מיזוג הגלויות ברחבי העיר. ,11.29,24,15,16,71,4.438,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,0,4,8,2,4,0,6,0,2,0,2,0,2,0,2,0,0,0,3,1
בסמל נבחין ב-12 עמודים המייצגים כל אחד מהם את שבטי ישראל.,7.28,15,10,12,45,3.75,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,4,2,0,2,4,2,0,0,0,2,0,2,2,0,2,0,0,2,1
"בנוסף, במיקום זה היו מי תהום גבוהים, דבר שאפשר השגת מים ליישוב בקלות יחסית.",9.86,20,13,14,59,4.214,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,6,2,0,0,0,4,0,2,0,0,0,2,2,0,0,0,2,2,1
"ראשית הוקמה תחנת משטרה בת שתי קומות במטרה להשיג שליטה טובה יותר, להפחית את מעשי השוד ולמנוע סכסוכים בקרב תושבי האזור.",12.64,26,20,21,95,4.524,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,2,2,4,2,0,0,8,0,4,0,2,0,0,0,2,0,0,0,1,1
במלחמת העולם הראשונה הפכה העיר למרכז לוגיסטי-צבאי חשוב ואוכלוסייתה גדלה פי ארבעה.,9.35,17,11,13,68,5.231,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,8,2,6,4,6,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1
בקרבתה הוקם שדה התעופה הראשון בארץ ישראל. ,5.19,11,6,7,34,4.857,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,4,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
"במהלך פלישת הצבא המצרי לארץ ישראל במלחמת העצמאות, השתלטו על העיר בתאריך 19 במאי 1948 שני גדודים של האחים המוסלמים, שחלקם נותר בעיר וחלקם המשיכו דרך חברון לעבר ירושלים.",22.3,45,28,29,136,4.69,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,4,10,16,2,0,6,6,0,0,0,0,0,2,0,6,0,0,0,4,1
ליווי היזמים והחברות בכל נושא רגולטורי ואחר לרבות בהליך הקצאת קרקע בפטור ממכרז.,10.91,22,12,13,66,5.077,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,8,4,4,0,0,10,0,2,0,0,0,0,0,2,2,0,0,0,1
קידום תקציבי פיתוח לאזורי התעשייה לרבות ביצוע עבודות פיתוח כחברה מנהלת.,7.4,15,10,11,60,5.455,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,6,4,0,2,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1
